incident_datetime,row_count,start_time,stop_time,elapsed_seconds
2022-01-01T00:00:00.000,456,2023-04-06 05:21:25.953624,2023-04-06 05:21:26.987273,1.0344
2022-01-02T00:00:00.000,296,2023-04-06 05:21:26.988275,2023-04-06 05:21:28.091063,1.1022
2022-01-03T00:00:00.000,279,2023-04-06 05:21:28.094063,2023-04-06 05:21:29.249343,1.1549
2022-01-04T00:00:00.000,309,2023-04-06 05:21:29.250374,2023-04-06 05:21:30.305253,1.0547
2022-01-05T00:00:00.000,349,2023-04-06 05:21:30.306251,2023-04-06 05:21:31.504431,1.1981
2022-01-06T00:00:00.000,349,2023-04-06 05:21:31.506424,2023-04-06 05:21:32.460869,0.9541
2022-01-07T00:00:00.000,326,2023-04-06 05:21:32.463839,2023-04-06 05:21:33.400370,0.9371
2022-01-08T00:00:00.000,314,2023-04-06 05:21:33.403364,2023-04-06 05:21:34.412494,1.009
2022-01-09T00:00:00.000,298,2023-04-06 05:21:34.414470,2023-04-06 05:21:35.468898,1.0551
2022-01-10T00:00:00.000,346,2023-04-06 05:21:35.470900,2023-04-06 05:21:36.426995,0.957
